,sub,age,sex,species
1,100206,27,Male,human
23,100307,27,Female,human
43,100408,33,Male,human
62,100610,27,Male,human
82,101006,35,Female,human
103,101107,22,Male,human
123,101309,29,Male,human
143,101410,29,Male,human
163,101915,35,Female,human
183,102008,24,Male,human
204,102311,26,Female,human
222,102513,30,Male,human
240,102816,30,Female,human
259,103111,30,Male,human
280,103414,25,Female,human
302,103515,28,Female,human
323,103818,32,Female,human
343,104416,31,Female,human
363,104820,36,Female,human
383,105014,29,Female,human
403,105115,31,Male,human
423,105216,27,Male,human
444,105620,34,Female,human
464,106016,33,Female,human
484,106319,28,Male,human
506,106521,29,Female,human
527,107018,26,Female,human
546,107220,26,Female,human
565,107321,25,Female,human
586,107422,22,Male,human
606,107725,35,Female,human
627,108121,27,Female,human
646,108222,35,Male,human
667,108323,27,Female,human
689,108525,23,Male,human
706,108828,32,Male,human
727,109123,32,Male,human
748,109325,31,Male,human
768,109830,33,Female,human
787,110007,33,Female,human
806,110411,31,Male,human
827,110613,29,Male,human
848,112920,31,Male,human
869,114924,28,Male,human
889,120111,28,Female,human
910,128127,27,Female,human
930,133928,27,Male,human
950,144125,33,Female,human
970,146937,32,Female,human
990,151425,26,Female,human
1009,151829,31,Female,human
1029,164939,29,Female,human
1048,168240,26,Male,human
1067,176744,31,Male,human
1088,180937,36,Male,human
1109,185947,29,Female,human
1128,214019,31,Female,human
1148,268749,29,Male,human
1169,365343,29,Female,human
1190,380036,28,Male,human
1212,517239,23,Male,human
1233,522434,27,Female,human
1252,531536,31,Male,human
1272,566454,27,Female,human
1292,585256,35,Female,human
1312,622236,23,Male,human
1332,644044,32,Male,human
1352,679770,26,Male,human
1371,687163,22,Male,human
1393,867468,23,Male,human
1411,910241,30,Male,human
1432,959574,28,Female,human
110,c01,16,Male,chimpanzee
2,c02,24,Female,chimpanzee
3,c03,21,Female,chimpanzee
4,c04,18,Female,chimpanzee
5,c05,19,Female,chimpanzee
6,c06,14,Male,chimpanzee
7,c07,17,Female,chimpanzee
8,c09,16,Female,chimpanzee
9,c10,15,Female,chimpanzee
10,c11,25,Male,chimpanzee
11,c12,38,Female,chimpanzee
12,c13,20,Male,chimpanzee
13,c14,31,Female,chimpanzee
14,c15,16,Female,chimpanzee
15,c16,15,Male,chimpanzee
16,c17,27,Male,chimpanzee
17,c18,14,Female,chimpanzee
18,c19,21,Male,chimpanzee
19,c20,31,Female,chimpanzee
20,c21,15,Male,chimpanzee
21,c22,NA,Male,chimpanzee
22,c23,26,Female,chimpanzee
231,c24,26,Female,chimpanzee
24,c25,15,Male,chimpanzee
25,c26,9,Male,chimpanzee
26,c27,29,Female,chimpanzee
27,c28,29,Female,chimpanzee
28,c29,21,Male,chimpanzee
29,c30,22,Female,chimpanzee
30,nc02,16,Female,chimpanzee
31,nc03,16,Female,chimpanzee
32,nc04,17,Male,chimpanzee
33,nc05,11,Female,chimpanzee
34,nc06,36,Female,chimpanzee
35,nc07,39,Male,chimpanzee
36,nc08,39,Female,chimpanzee
37,nc09,23,Female,chimpanzee
38,nc10,22,Male,chimpanzee
39,nc11,51,Female,chimpanzee
40,nc12,20,Male,chimpanzee
41,nc13,12,Female,chimpanzee
42,nc14,31,Female,chimpanzee
431,nc15,31,Male,chimpanzee
44,nc16,18,Male,chimpanzee
45,nc17,20,Female,chimpanzee
46,nc18,18,Male,chimpanzee
47,nc19,13,Female,chimpanzee
48,nc20,40,Female,chimpanzee
49,nc21,19,Male,chimpanzee
50,nc22,13,Female,chimpanzee
51,nc23,20,Male,chimpanzee
52,nc24,14,Female,chimpanzee
53,nc25,20,Male,chimpanzee
54,nc26,41,Female,chimpanzee
55,nc27,14,Female,chimpanzee
56,nc28,26,Male,chimpanzee
57,nc29,51,Female,chimpanzee
58,nc30,51,Female,chimpanzee
59,nc31,31,Female,chimpanzee
60,nc32,40,Female,chimpanzee