"","sub","label","sulcal_depth_mm","hemi"
"1",100206,"mcgs",18.4376009323387,"lh"
"2",100307,"mcgs",15.3683525526113,"lh"
"3",100408,"mcgs",16.3185280897074,"lh"
"4",100610,"mcgs",16.2740677934122,"lh"
"5",101006,"mcgs",14.0064846285371,"lh"
"6",101107,"mcgs",13.1758818660332,"lh"
"7",101309,"mcgs",13.8266401171418,"lh"
"8",101410,"mcgs",15.7618969569922,"lh"
"9",101915,"mcgs",12.6782560166369,"lh"
"10",102008,"mcgs",11.9581865834685,"lh"
"11",102311,"mcgs",16.1727117719786,"lh"
"12",102513,"mcgs",16.5740417084965,"lh"
"13",102816,"mcgs",14.3228722348404,"lh"
"14",103111,"mcgs",14.9919117505746,"lh"
"15",103414,"mcgs",14.4390872320025,"lh"
"16",103515,"mcgs",12.7804961802633,"lh"
"17",103818,"mcgs",13.2194287520948,"lh"
"18",104416,"mcgs",18.9318289925786,"lh"
"19",104820,"mcgs",13.754102659981,"lh"
"20",105014,"mcgs",17.3423845256915,"lh"
"21",105115,"mcgs",16.2052873368715,"lh"
"22",105216,"mcgs",15.9923426698493,"lh"
"23",105620,"mcgs",15.8597020021427,"lh"
"24",106016,"mcgs",14.1956894790437,"lh"
"25",106319,"mcgs",15.3734878021523,"lh"
"26",106521,"mcgs",15.9199314989133,"lh"
"27",107018,"mcgs",13.1944565142992,"lh"
"28",107220,"mcgs",14.6440347794052,"lh"
"29",107321,"mcgs",14.8480347641004,"lh"
"30",107422,"mcgs",17.2644072872297,"lh"
"31",107725,"mcgs",13.6145909616631,"lh"
"32",108121,"mcgs",14.3319609843642,"lh"
"33",108222,"mcgs",14.53172906175,"lh"
"34",108323,"mcgs",14.3711199392912,"lh"
"35",108525,"mcgs",14.6844452829036,"lh"
"36",108828,"mcgs",14.6310510439281,"lh"
"37",109123,"mcgs",16.2502641229449,"lh"
"38",109325,"mcgs",14.2676342197766,"lh"
"39",109830,"mcgs",14.7760051829829,"lh"
"40",110007,"mcgs",12.5701725749765,"lh"
"41",110411,"mcgs",14.6662703084529,"lh"
"42",110613,"mcgs",15.9578531052119,"lh"
"43",112920,"mcgs",17.2813778196499,"lh"
"44",114924,"mcgs",14.7072018148831,"lh"
"45",120111,"mcgs",17.9704279768517,"lh"
"46",128127,"mcgs",15.6415780883577,"lh"
"47",133928,"mcgs",16.3831218720382,"lh"
"48",144125,"mcgs",12.5796786564301,"lh"
"49",146937,"mcgs",15.1610150820549,"lh"
"50",151425,"mcgs",12.130871653394,"lh"
"51",151829,"mcgs",14.1380896407918,"lh"
"52",164939,"mcgs",13.0473549143655,"lh"
"53",168240,"mcgs",15.7017971002689,"lh"
"54",176744,"mcgs",15.1773192354664,"lh"
"55",180937,"mcgs",16.7957924187517,"lh"
"56",185947,"mcgs",15.1035490861619,"lh"
"57",214019,"mcgs",15.4900430710727,"lh"
"58",268749,"mcgs",15.0370786534201,"lh"
"59",365343,"mcgs",16.4213773882384,"lh"
"60",380036,"mcgs",13.8864721412875,"lh"
"61",517239,"mcgs",17.0249035182582,"lh"
"62",522434,"mcgs",13.8520453446254,"lh"
"63",531536,"mcgs",17.622721575417,"lh"
"64",566454,"mcgs",13.8281961933514,"lh"
"65",585256,"mcgs",17.0656182580526,"lh"
"66",622236,"mcgs",14.4329841224734,"lh"
"67",644044,"mcgs",16.5223787184033,"lh"
"68",679770,"mcgs",16.3478134600859,"lh"
"69",687163,"mcgs",15.1872942190038,"lh"
"70",867468,"mcgs",14.3442379512454,"lh"
"71",910241,"mcgs",15.8056824941198,"lh"
"72",959574,"mcgs",14.3642642902104,"lh"
"73",100206,"pos",21.9184849423215,"lh"
"74",100307,"pos",20.4114576150188,"lh"
"75",100408,"pos",21.7007711234616,"lh"
"76",100610,"pos",20.4941101696859,"lh"
"77",101006,"pos",18.2922920793213,"lh"
"78",101107,"pos",21.3624247635655,"lh"
"79",101309,"pos",23.6218843676382,"lh"
"80",101410,"pos",21.6308584860109,"lh"
"81",101915,"pos",16.8536680244955,"lh"
"82",102008,"pos",16.6164574481558,"lh"
"83",102311,"pos",21.8276350085105,"lh"
"84",102513,"pos",20.5142766254916,"lh"
"85",102816,"pos",17.0336463531254,"lh"
"86",103111,"pos",19.0617006523083,"lh"
"87",103414,"pos",17.2755797728016,"lh"
"88",103515,"pos",16.5533426874313,"lh"
"89",103818,"pos",17.6150638635012,"lh"
"90",104416,"pos",20.77336984661,"lh"
"91",104820,"pos",18.2136217284284,"lh"
"92",105014,"pos",20.6563784176136,"lh"
"93",105115,"pos",17.3489232742043,"lh"
"94",105216,"pos",18.5381046339495,"lh"
"95",105620,"pos",19.9031855825791,"lh"
"96",106016,"pos",19.9746639053772,"lh"
"97",106319,"pos",20.4287938582179,"lh"
"98",106521,"pos",20.7321203226597,"lh"
"99",107018,"pos",16.0006478563196,"lh"
"100",107220,"pos",19.2245409854841,"lh"
"101",107321,"pos",16.7707235802085,"lh"
"102",107422,"pos",21.5609023706252,"lh"
"103",107725,"pos",16.5466381319374,"lh"
"104",108121,"pos",11.8772733406987,"lh"
"105",108222,"pos",15.3892556084941,"lh"
"106",108323,"pos",22.7993456406551,"lh"
"107",108525,"pos",21.408760615532,"lh"
"108",108828,"pos",21.7472639921929,"lh"
"109",109123,"pos",22.9521721751008,"lh"
"110",109325,"pos",18.533881746588,"lh"
"111",109830,"pos",17.8137968598379,"lh"
"112",110007,"pos",15.0242835140261,"lh"
"113",110411,"pos",16.6402155885446,"lh"
"114",110613,"pos",21.9170989221983,"lh"
"115",112920,"pos",22.3924882842573,"lh"
"116",114924,"pos",19.5739997360568,"lh"
"117",120111,"pos",17.0425918433108,"lh"
"118",128127,"pos",20.6690209454186,"lh"
"119",133928,"pos",23.6630974544303,"lh"
"120",144125,"pos",21.8944816661721,"lh"
"121",146937,"pos",20.767187466521,"lh"
"122",151425,"pos",20.6666075628755,"lh"
"123",151829,"pos",18.660475033506,"lh"
"124",164939,"pos",17.7563539686238,"lh"
"125",168240,"pos",19.5348376939978,"lh"
"126",176744,"pos",22.018247593696,"lh"
"127",180937,"pos",19.0000935124773,"lh"
"128",185947,"pos",18.7372232765424,"lh"
"129",214019,"pos",16.6993953549265,"lh"
"130",268749,"pos",21.0552842839624,"lh"
"131",365343,"pos",16.4342090527408,"lh"
"132",380036,"pos",21.2290404093032,"lh"
"133",517239,"pos",15.4334048633321,"lh"
"134",522434,"pos",17.5516786062344,"lh"
"135",531536,"pos",20.1155333166476,"lh"
"136",566454,"pos",17.5284191495,"lh"
"137",585256,"pos",16.1710758195074,"lh"
"138",622236,"pos",21.5404225533805,"lh"
"139",644044,"pos",18.5607735285549,"lh"
"140",679770,"pos",20.5883769408601,"lh"
"141",687163,"pos",21.481209444251,"lh"
"142",867468,"pos",19.2646013046796,"lh"
"143",910241,"pos",20.6491684832096,"lh"
"144",959574,"pos",20.1254166056928,"lh"
"145",100206,"prcus_p",9.27058288461778,"lh"
"146",100307,"prcus_p",10.8050551708643,"lh"
"147",100408,"prcus_p",14.8795566664372,"lh"
"148",100610,"prcus_p",5.6459216637166,"lh"
"149",101006,"prcus_p",5.87996306928116,"lh"
"150",101107,"prcus_p",12.5762642152352,"lh"
"151",101309,"prcus_p",7.7195298390314,"lh"
"152",101410,"prcus_p",9.44446160319677,"lh"
"153",101915,"prcus_p",9.22155686747928,"lh"
"154",102008,"prcus_p",1.84369383294238,"lh"
"155",102311,"prcus_p",10.2867082656777,"lh"
"156",102513,"prcus_p",14.3888976328317,"lh"
"157",102816,"prcus_p",2.30021814354745,"lh"
"158",103111,"prcus_p",9.31947038880077,"lh"
"159",103414,"prcus_p",5.76527923534643,"lh"
"160",103515,"prcus_p",2.09681334091298,"lh"
"161",103818,"prcus_p",3.48702945091177,"lh"
"162",104416,"prcus_p",13.098311161827,"lh"
"163",104820,"prcus_p",6.10834094043131,"lh"
"164",105014,"prcus_p",4.81999495990648,"lh"
"165",105115,"prcus_p",3.5568523268251,"lh"
"166",105216,"prcus_p",9.27978346926216,"lh"
"167",105620,"prcus_p",13.3137578644084,"lh"
"168",106016,"prcus_p",6.9330237913115,"lh"
"169",106319,"prcus_p",11.6975945042586,"lh"
"170",106521,"prcus_p",9.69619160621726,"lh"
"171",107018,"prcus_p",5.19116169512275,"lh"
"172",107220,"prcus_p",5.45524907697545,"lh"
"173",107321,"prcus_p",5.07625136661781,"lh"
"174",107422,"prcus_p",10.3277438589414,"lh"
"175",107725,"prcus_p",4.48928676349473,"lh"
"176",108121,"prcus_p",7.08817021077628,"lh"
"177",108222,"prcus_p",5.01898321458824,"lh"
"178",108323,"prcus_p",8.02099040619291,"lh"
"179",108525,"prcus_p",9.09721867731079,"lh"
"180",108828,"prcus_p",10.812841053248,"lh"
"181",109123,"prcus_p",2.0317832108319,"lh"
"182",109325,"prcus_p",9.04864582592033,"lh"
"183",109830,"prcus_p",9.38931327091529,"lh"
"184",110007,"prcus_p",3.78591892469373,"lh"
"185",110411,"prcus_p",0.94448394072831,"lh"
"186",110613,"prcus_p",4.5820038383887,"lh"
"187",112920,"prcus_p",5.61188219283363,"lh"
"188",114924,"prcus_p",4.60840725672668,"lh"
"189",120111,"prcus_p",5.00648184613123,"lh"
"190",128127,"prcus_p",8.00056093789687,"lh"
"191",133928,"prcus_p",2.19735640641528,"lh"
"192",144125,"prcus_p",8.25724892207987,"lh"
"193",146937,"prcus_p",10.9893802743445,"lh"
"194",151425,"prcus_p",12.3760998447775,"lh"
"195",151829,"prcus_p",3.45753831103461,"lh"
"196",164939,"prcus_p",8.29195551238634,"lh"
"197",168240,"prcus_p",12.5639849474871,"lh"
"198",176744,"prcus_p",7.39405534446933,"lh"
"199",180937,"prcus_p",8.26476878796942,"lh"
"200",185947,"prcus_p",11.4553132374416,"lh"
"201",214019,"prcus_p",7.9800712782798,"lh"
"202",268749,"prcus_p",6.44852914588995,"lh"
"203",365343,"prcus_p",6.38797925736563,"lh"
"204",380036,"prcus_p",11.4424132294413,"lh"
"205",517239,"prcus_p",4.03535772240117,"lh"
"206",522434,"prcus_p",4.0618473752468,"lh"
"207",531536,"prcus_p",9.86972285329742,"lh"
"208",566454,"prcus_p",10.3044355451066,"lh"
"209",585256,"prcus_p",3.49981083155478,"lh"
"210",622236,"prcus_p",8.8983450244265,"lh"
"211",644044,"prcus_p",4.57594240387022,"lh"
"212",679770,"prcus_p",2.14293072281927,"lh"
"213",687163,"prcus_p",11.5513512712356,"lh"
"214",867468,"prcus_p",7.90413327646137,"lh"
"215",910241,"prcus_p",4.57382405590165,"lh"
"216",959574,"prcus_p",11.2687166325185,"lh"
"217",100206,"prcus_i",7.44028943234583,"lh"
"218",100307,"prcus_i",9.57942558833599,"lh"
"219",100408,"prcus_i",1.97025686823816,"lh"
"220",100610,"prcus_i",12.9882748276063,"lh"
"221",101006,"prcus_i",7.14068112685553,"lh"
"222",101107,"prcus_i",10.7223274537663,"lh"
"223",101309,"prcus_i",1.38082623022935,"lh"
"224",101410,"prcus_i",3.54475965248534,"lh"
"225",101915,"prcus_i",9.65732091904586,"lh"
"226",102008,"prcus_i",9.72904389141147,"lh"
"227",102311,"prcus_i",3.43914827041139,"lh"
"228",102513,"prcus_i",3.0793611718887,"lh"
"229",102816,"prcus_i",11.3060435721086,"lh"
"230",103111,"prcus_i",9.61551966137356,"lh"
"231",103414,"prcus_i",8.8879183029829,"lh"
"232",103515,"prcus_i",10.0791053152967,"lh"
"233",103818,"prcus_i",11.1563627865624,"lh"
"234",104416,"prcus_i",13.9685989474656,"lh"
"235",104820,"prcus_i",10.5805961456033,"lh"
"236",105014,"prcus_i",6.59754311072922,"lh"
"237",105115,"prcus_i",12.5248651674114,"lh"
"238",105216,"prcus_i",12.4994356173732,"lh"
"239",105620,"prcus_i",4.030923334125,"lh"
"240",106016,"prcus_i",11.6511620611599,"lh"
"241",106319,"prcus_i",13.5206791498603,"lh"
"242",106521,"prcus_i",6.40797754792352,"lh"
"243",107018,"prcus_i",11.7903493060982,"lh"
"244",107220,"prcus_i",10.0665410522673,"lh"
"245",107321,"prcus_i",10.4203260708456,"lh"
"246",107422,"prcus_i",6.38758713657704,"lh"
"247",107725,"prcus_i",11.0066547173345,"lh"
"248",108121,"prcus_i",8.76300556969563,"lh"
"249",108222,"prcus_i",12.3401905673195,"lh"
"250",108323,"prcus_i",2.31879163656494,"lh"
"251",108525,"prcus_i",6.96355041446355,"lh"
"252",108828,"prcus_i",12.9154715683912,"lh"
"253",109123,"prcus_i",9.75055876605577,"lh"
"254",109325,"prcus_i",10.8768275219351,"lh"
"255",109830,"prcus_i",3.96700139527518,"lh"
"256",110007,"prcus_i",6.59056942590333,"lh"
"257",110411,"prcus_i",12.2011566704871,"lh"
"258",110613,"prcus_i",12.876853314184,"lh"
"259",112920,"prcus_i",13.956905171555,"lh"
"260",114924,"prcus_i",12.149682045144,"lh"
"261",120111,"prcus_i",12.8373496006251,"lh"
"262",128127,"prcus_i",5.33660601156389,"lh"
"263",133928,"prcus_i",10.5954504182949,"lh"
"264",144125,"prcus_i",10.779661889272,"lh"
"265",146937,"prcus_i",13.9317902193515,"lh"
"266",151425,"prcus_i",6.47818314059122,"lh"
"267",151829,"prcus_i",11.109307034001,"lh"
"268",164939,"prcus_i",10.2093411213382,"lh"
"269",168240,"prcus_i",14.5868279769965,"lh"
"270",176744,"prcus_i",14.6434023170097,"lh"
"271",180937,"prcus_i",11.2623698116809,"lh"
"272",185947,"prcus_i",11.9922020581485,"lh"
"273",214019,"prcus_i",9.58679251108457,"lh"
"274",268749,"prcus_i",9.29680840393439,"lh"
"275",365343,"prcus_i",11.2848554424534,"lh"
"276",380036,"prcus_i",6.07791019750132,"lh"
"277",517239,"prcus_i",10.7334996100552,"lh"
"278",522434,"prcus_i",7.66587368257957,"lh"
"279",531536,"prcus_i",7.93479228221851,"lh"
"280",566454,"prcus_i",9.74676378644589,"lh"
"281",585256,"prcus_i",8.04373201293293,"lh"
"282",622236,"prcus_i",7.81251349713371,"lh"
"283",644044,"prcus_i",10.5894237022251,"lh"
"284",679770,"prcus_i",10.2707202308623,"lh"
"285",687163,"prcus_i",12.2973090567077,"lh"
"286",867468,"prcus_i",2.57528253428354,"lh"
"287",910241,"prcus_i",12.0002005574546,"lh"
"288",959574,"prcus_i",10.0839093887376,"lh"
"289",100206,"prcus_a",15.169829554122,"lh"
"290",100307,"prcus_a",12.837848959348,"lh"
"291",100408,"prcus_a",11.4428746085759,"lh"
"292",100610,"prcus_a",11.7026487123536,"lh"
"293",101006,"prcus_a",11.1118141849711,"lh"
"294",101107,"prcus_a",16.4469458117139,"lh"
"295",101309,"prcus_a",5.23456906431123,"lh"
"296",101410,"prcus_a",12.9128520409262,"lh"
"297",101915,"prcus_a",12.1121306000359,"lh"
"298",102008,"prcus_a",11.8274289167256,"lh"
"299",102311,"prcus_a",12.3599529189697,"lh"
"300",102513,"prcus_a",13.0680536778372,"lh"
"301",102816,"prcus_a",7.6002575657924,"lh"
"302",103111,"prcus_a",11.5520817906963,"lh"
"303",103414,"prcus_a",11.8620773000248,"lh"
"304",103515,"prcus_a",14.1872234448751,"lh"
"305",103818,"prcus_a",10.3089055910921,"lh"
"306",104416,"prcus_a",8.52104338644493,"lh"
"307",104820,"prcus_a",9.64236215363744,"lh"
"308",105014,"prcus_a",12.7872080527975,"lh"
"309",105115,"prcus_a",13.246983801298,"lh"
"310",105216,"prcus_a",14.2752186775854,"lh"
"311",105620,"prcus_a",14.0181353179475,"lh"
"312",106016,"prcus_a",6.30799461551818,"lh"
"313",106319,"prcus_a",7.73561239545461,"lh"
"314",106521,"prcus_a",8.18400702019998,"lh"
"315",107018,"prcus_a",8.30442628515971,"lh"
"316",107220,"prcus_a",11.7502848040422,"lh"
"317",107321,"prcus_a",10.0270599635686,"lh"
"318",107422,"prcus_a",14.6191966138025,"lh"
"319",107725,"prcus_a",2.61041986321515,"lh"
"320",108121,"prcus_a",3.13244792364117,"lh"
"321",108222,"prcus_a",10.2622909881785,"lh"
"322",108323,"prcus_a",11.0142544833364,"lh"
"323",108525,"prcus_a",11.4275261192511,"lh"
"324",108828,"prcus_a",5.50365498624663,"lh"
"325",109123,"prcus_a",4.84808610220656,"lh"
"326",109325,"prcus_a",9.68405831793386,"lh"
"327",109830,"prcus_a",12.4220372963983,"lh"
"328",110007,"prcus_a",11.5370658124927,"lh"
"329",110411,"prcus_a",1.76175692314277,"lh"
"330",110613,"prcus_a",16.8805033532127,"lh"
"331",112920,"prcus_a",7.13757852864081,"lh"
"332",114924,"prcus_a",0.633717257998431,"lh"
"333",120111,"prcus_a",7.95252478376887,"lh"
"334",128127,"prcus_a",8.67630424524591,"lh"
"335",133928,"prcus_a",4.78095401234166,"lh"
"336",144125,"prcus_a",9.35955583990877,"lh"
"337",146937,"prcus_a",16.6456251406894,"lh"
"338",151425,"prcus_a",14.175634685599,"lh"
"339",151829,"prcus_a",8.73402317399677,"lh"
"340",164939,"prcus_a",10.0253692563536,"lh"
"341",168240,"prcus_a",10.5136582818634,"lh"
"342",176744,"prcus_a",13.0675004857201,"lh"
"343",180937,"prcus_a",9.42900255256955,"lh"
"344",185947,"prcus_a",8.58266314826184,"lh"
"345",214019,"prcus_a",9.31568727069016,"lh"
"346",268749,"prcus_a",6.47223999775198,"lh"
"347",365343,"prcus_a",7.00563946388277,"lh"
"348",380036,"prcus_a",11.3409133189944,"lh"
"349",517239,"prcus_a",11.7227678862509,"lh"
"350",522434,"prcus_a",9.39855237235351,"lh"
"351",531536,"prcus_a",12.9712436946105,"lh"
"352",566454,"prcus_a",2.57270569026253,"lh"
"353",585256,"prcus_a",10.0771473984615,"lh"
"354",622236,"prcus_a",10.9058678070765,"lh"
"355",644044,"prcus_a",5.40959726215823,"lh"
"356",679770,"prcus_a",12.0392299343632,"lh"
"357",687163,"prcus_a",10.3897975838076,"lh"
"358",867468,"prcus_a",12.1568156198301,"lh"
"359",910241,"prcus_a",10.7598029318086,"lh"
"360",959574,"prcus_a",4.88535495216025,"lh"
"361",100206,"prculs_d",16.754813567389,"lh"
"362",100307,"prculs_d",13.3718559442605,"lh"
"363",100408,"prculs_d",14.0758064867273,"lh"
"364",100610,"prculs_d",12.5156128335652,"lh"
"365",101006,"prculs_d",16.2084994409666,"lh"
"366",101107,"prculs_d",15.2484314322945,"lh"
"367",101309,"prculs_d",17.898096448883,"lh"
"368",101410,"prculs_d",17.5180020829532,"lh"
"369",101915,"prculs_d",14.7947045825595,"lh"
"370",102008,"prculs_d",13.1271627067714,"lh"
"371",102311,"prculs_d",13.1627848119492,"lh"
"372",102513,"prculs_d",19.4170195628519,"lh"
"373",102816,"prculs_d",11.7171568415193,"lh"
"374",103111,"prculs_d",16.1736102617507,"lh"
"375",103414,"prculs_d",13.2956487072048,"lh"
"376",103515,"prculs_d",13.807126248829,"lh"
"377",103818,"prculs_d",10.6965770018309,"lh"
"378",104416,"prculs_d",17.2981477794188,"lh"
"379",104820,"prculs_d",14.8083970313762,"lh"
"380",105014,"prculs_d",12.7693565857356,"lh"
"381",105115,"prculs_d",11.3184652823986,"lh"
"382",105216,"prculs_d",16.680272897964,"lh"
"383",105620,"prculs_d",16.6276423666559,"lh"
"384",106016,"prculs_d",15.0240525342117,"lh"
"385",106319,"prculs_d",13.9591128214648,"lh"
"386",106521,"prculs_d",14.9044771614434,"lh"
"387",107018,"prculs_d",13.8903696913122,"lh"
"388",107220,"prculs_d",13.8199848697371,"lh"
"389",107321,"prculs_d",14.1580102318798,"lh"
"390",107422,"prculs_d",17.7794760228579,"lh"
"391",107725,"prculs_d",10.5495829673918,"lh"
"392",108121,"prculs_d",13.2344447326423,"lh"
"393",108222,"prculs_d",13.4999678534118,"lh"
"394",108323,"prculs_d",17.2663553883281,"lh"
"395",108525,"prculs_d",16.4846281351351,"lh"
"396",108828,"prculs_d",10.4629767397338,"lh"
"397",109123,"prculs_d",18.7060529936859,"lh"
"398",109325,"prculs_d",15.9360193802244,"lh"
"399",109830,"prculs_d",15.1369413817396,"lh"
"400",110007,"prculs_d",9.68343817430586,"lh"
"401",110411,"prculs_d",13.8128040789434,"lh"
"402",110613,"prculs_d",14.5557650578979,"lh"
"403",112920,"prculs_d",16.7464146171857,"lh"
"404",114924,"prculs_d",10.615535075789,"lh"
"405",120111,"prculs_d",13.3406766130516,"lh"
"406",128127,"prculs_d",5.06994628863324,"lh"
