sulcus,hemi,pres,pct,count,species
pos,lh,present,100,72,human
prculs-d,lh,present,100,72,human
prcus-p,lh,present,100,72,human
prcus-i,lh,present,100,72,human
prcus-a,lh,present,100,72,human
spls,lh,present,100,72,human
mcgs,lh,present,100,72,human
w,lh,present,97.22,70,human
isms,lh,present,12.5,9,human
prculs-v,lh,present,44.44,32,human
sspls-v,lh,present,66.67,48,human
sspls-d,lh,present,47.22,34,human
ifrms,lh,present,100,72,human
icgs-p,lh,present,65.28,47,human
pos,rh,present,100,72,human
prculs-d,rh,present,100,72,human
prcus-p,rh,present,100,72,human
prcus-i,rh,present,100,72,human
prcus-a,rh,present,100,72,human
spls,rh,present,100,72,human
mcgs,rh,present,100,72,human
w,rh,present,94.44,68,human
isms,rh,present,15.28,11,human
prculs-v,rh,present,40.28,29,human
sspls-v,rh,present,48.61,35,human
sspls-d,rh,present,50,36,human
ifrms,rh,present,100,72,human
icgs-p,rh,present,66.67,48,human
pos,lh,absent,0,0,human
prculs-d,lh,absent,0,0,human
prcus-p,lh,absent,0,0,human
prcus-i,lh,absent,0,0,human
prcus-a,lh,absent,0,0,human
spls,lh,absent,0,0,human
mcgs,lh,absent,0,0,human
w,lh,absent,2.78,2,human
isms,lh,absent,87.5,63,human
prculs-v,lh,absent,55.56,40,human
sspls-v,lh,absent,33.33,24,human
sspls-d,lh,absent,52.78,38,human
ifrms,lh,absent,0,0,human
icgs-p,lh,absent,34.72,25,human
pos,rh,absent,0,0,human
prculs-d,rh,absent,0,0,human
prcus-p,rh,absent,0,0,human
prcus-i,rh,absent,0,0,human
prcus-a,rh,absent,0,0,human
spls,rh,absent,0,0,human
mcgs,rh,absent,0,0,human
w,rh,absent,5.56,4,human
isms,rh,absent,84.72,61,human
prculs-v,rh,absent,59.72,43,human
sspls-v,rh,absent,51.39,37,human
sspls-d,rh,absent,50,36,human
ifrms,rh,absent,0,0,human
icgs-p,rh,absent,33.33,24,human
pos,lh,present,100,60,chimpanzee
prculs-d,lh,present,96.67,58,chimpanzee
prcus-p,lh,present,15,9,chimpanzee
prcus-i,lh,present,76.67,46,chimpanzee
prcus-a,lh,present,6.67,4,chimpanzee
spls,lh,present,100,60,chimpanzee
mcgs,lh,present,100,60,chimpanzee
w,lh,present,100,60,chimpanzee
isms,lh,present,56.67,34,chimpanzee
prculs-v,lh,present,0,0,chimpanzee
sspls-v,lh,present,56.67,34,chimpanzee
sspls-d,lh,present,0,0,chimpanzee
ifrms,lh,present,56.67,34,chimpanzee
icgs-p,lh,present,6.67,4,chimpanzee
pos,rh,present,100,60,chimpanzee
prculs-d,rh,present,96.67,58,chimpanzee
prcus-p,rh,present,5,3,chimpanzee
prcus-i,rh,present,73.33,44,chimpanzee
prcus-a,rh,present,5,3,chimpanzee
spls,rh,present,100,60,chimpanzee
mcgs,rh,present,100,60,chimpanzee
w,rh,present,100,60,chimpanzee
isms,rh,present,56.67,34,chimpanzee
prculs-v,rh,present,0,0,chimpanzee
sspls-v,rh,present,66.67,40,chimpanzee
sspls-d,rh,present,0,0,chimpanzee
ifrms,rh,present,50,30,chimpanzee
icgs-p,rh,present,5,3,chimpanzee
pos,lh,absent,0,0,chimpanzee
prculs-d,lh,absent,3.33,2,chimpanzee
prcus-p,lh,absent,85,51,chimpanzee
prcus-i,lh,absent,23.33,14,chimpanzee
prcus-a,lh,absent,93.33,56,chimpanzee
spls,lh,absent,0,0,chimpanzee
mcgs,lh,absent,0,0,chimpanzee
w,lh,absent,0,0,chimpanzee
isms,lh,absent,43.33,26,chimpanzee
prculs-v,lh,absent,100,60,chimpanzee
sspls-v,lh,absent,43.33,26,chimpanzee
sspls-d,lh,absent,100,60,chimpanzee
ifrms,lh,absent,43.33,26,chimpanzee
icgs-p,lh,absent,93.33,56,chimpanzee
pos,rh,absent,0,0,chimpanzee
prculs-d,rh,absent,3.33,2,chimpanzee
prcus-p,rh,absent,95,57,chimpanzee
prcus-i,rh,absent,26.67,16,chimpanzee
prcus-a,rh,absent,95,57,chimpanzee
spls,rh,absent,0,0,chimpanzee
mcgs,rh,absent,0,0,chimpanzee
w,rh,absent,0,0,chimpanzee
isms,rh,absent,43.33,26,chimpanzee
prculs-v,rh,absent,100,60,chimpanzee
sspls-v,rh,absent,33.33,20,chimpanzee
sspls-d,rh,absent,100,60,chimpanzee
ifrms,rh,absent,50,30,chimpanzee
icgs-p,rh,absent,95,57,chimpanzee