sub,hemi,species,intersection_pial,intersection_inflated,isms_pres
100206,lh,human,1,1,0
100206,rh,human,1,1,0
100408,lh,human,1,1,1
100408,rh,human,1,1,0
101006,lh,human,1,0,0
101006,rh,human,1,0,0
180937,lh,human,1,1,1
180937,rh,human,1,1,0
112920,lh,human,1,0,0
112920,rh,human,1,0,0
176744,lh,human,1,1,0
176744,rh,human,1,1,0
151425,lh,human,1,1,0
151425,rh,human,1,0,0
128127,lh,human,1,1,0
128127,rh,human,1,1,1
146937,lh,human,1,1,0
146937,rh,human,1,0,0
380036,lh,human,1,1,0
380036,rh,human,1,1,0
185947,lh,human,1,1,0
185947,rh,human,1,0,1
566454,lh,human,1,0,0
566454,rh,human,1,1,1
151829,lh,human,1,0,0
151829,rh,human,1,1,0
910241,lh,human,1,1,1
910241,rh,human,1,0,0
107725,lh,human,1,0,0
107725,rh,human,1,0,0
109830,lh,human,1,1,0
109830,rh,human,1,1,0
622236,lh,human,1,0,0
622236,rh,human,1,0,0
517239,lh,human,1,1,0
517239,rh,human,1,1,1
644044,lh,human,1,0,0
644044,rh,human,1,1,0
585256,lh,human,1,0,0
585256,rh,human,1,1,0
687163,lh,human,1,0,0
687163,rh,human,1,1,0
214019,lh,human,1,1,0
214019,rh,human,1,0,0
959574,lh,human,1,0,0
959574,rh,human,1,1,0
101107,lh,human,1,1,0
101107,rh,human,1,1,0
114924,lh,human,1,1,0
114924,rh,human,1,1,0
100610,lh,human,1,0,0
100610,rh,human,1,0,0
100307,lh,human,1,1,0
100307,rh,human,1,1,0
365343,lh,human,1,0,0
365343,rh,human,1,0,0
531536,lh,human,1,0,0
531536,rh,human,1,0,0
867468,lh,human,1,0,0
867468,rh,human,1,0,0
522434,lh,human,1,0,0
522434,rh,human,1,1,0
679770,lh,human,1,1,0
679770,rh,human,1,1,0
164939,lh,human,1,1,0
164939,rh,human,1,1,0
268749,lh,human,1,0,0
268749,rh,human,1,1,0
144125,lh,human,1,0,0
144125,rh,human,1,0,0
133928,lh,human,1,0,0
133928,rh,human,1,0,0
101309,lh,human,1,0,0
101309,rh,human,1,0,0
101410,lh,human,1,0,0
101410,rh,human,1,1,0
101915,lh,human,1,0,0
101915,rh,human,1,0,0
102008,lh,human,1,0,0
102008,rh,human,1,0,1
102311,lh,human,1,1,1
102311,rh,human,1,1,0
102513,lh,human,1,1,0
102513,rh,human,1,1,0
102816,lh,human,1,0,0
102816,rh,human,1,0,0
103111,lh,human,1,0,0
103111,rh,human,1,1,0
103414,lh,human,1,0,0
103414,rh,human,1,0,0
103515,lh,human,1,0,0
103515,rh,human,1,0,0
103818,lh,human,1,1,0
103818,rh,human,1,0,1
104416,lh,human,1,0,0
104416,rh,human,1,0,0
104820,lh,human,1,0,0
104820,rh,human,1,0,0
105014,lh,human,1,1,0
105014,rh,human,1,1,0
105115,lh,human,1,0,0
105115,rh,human,1,0,0
105216,lh,human,1,0,0
105216,rh,human,1,0,0
105620,lh,human,1,0,0
105620,rh,human,1,0,0
106016,lh,human,1,1,1
106016,rh,human,1,0,0
106319,lh,human,1,1,0
106319,rh,human,1,0,0
106521,lh,human,1,1,0
106521,rh,human,1,1,0
107018,lh,human,1,0,0
107018,rh,human,1,0,0
107220,lh,human,1,0,0
107220,rh,human,1,1,0
107321,lh,human,1,0,0
107321,rh,human,1,0,0
107422,lh,human,1,0,1
107422,rh,human,1,1,0
108121,lh,human,1,0,0
108121,rh,human,1,1,0
108222,lh,human,1,1,1
108222,rh,human,1,1,1
108323,lh,human,1,1,0
108323,rh,human,1,1,1
108525,lh,human,1,1,0
108525,rh,human,1,0,0
108828,lh,human,1,1,0
108828,rh,human,1,1,0
109123,lh,human,1,1,0
109123,rh,human,1,1,0
109325,lh,human,1,1,0
109325,rh,human,1,0,0
110007,lh,human,1,1,0
110007,rh,human,1,1,0
110411,lh,human,1,1,0
110411,rh,human,1,1,0
110613,lh,human,1,0,0
110613,rh,human,1,1,1
120111,lh,human,1,0,1
120111,rh,human,1,0,1
168240,lh,human,1,1,1
168240,rh,human,1,1,0
c01,lh,chimpanzee,0,0,1
c01,rh,chimpanzee,1,0,0
c02,lh,chimpanzee,0,0,1
c02,rh,chimpanzee,1,1,0
c03,lh,chimpanzee,0,0,1
c03,rh,chimpanzee,1,0,0
c04,lh,chimpanzee,0,0,1
c04,rh,chimpanzee,0,0,1
c05,lh,chimpanzee,0,0,0
c05,rh,chimpanzee,1,0,1
c06,lh,chimpanzee,0,0,1
c06,rh,chimpanzee,0,0,1
c07,lh,chimpanzee,0,0,1
c07,rh,chimpanzee,0,0,1
c09,lh,chimpanzee,0,0,1
c09,rh,chimpanzee,0,0,1
c10,lh,chimpanzee,0,0,1
c10,rh,chimpanzee,0,0,1
c11,lh,chimpanzee,0,0,1
c11,rh,chimpanzee,0,0,1
c12,lh,chimpanzee,0,0,1
c12,rh,chimpanzee,1,0,1
c13,lh,chimpanzee,0,0,1
c13,rh,chimpanzee,0,0,1
c14,lh,chimpanzee,1,0,0
c14,rh,chimpanzee,1,0,0
c15,lh,chimpanzee,0,0,0
c15,rh,chimpanzee,0,0,1
c16,lh,chimpanzee,0,0,1
c16,rh,chimpanzee,0,0,1
c17,lh,chimpanzee,0,0,0
c17,rh,chimpanzee,0,0,0
c18,lh,chimpanzee,1,0,0
c18,rh,chimpanzee,1,1,0
c19,lh,chimpanzee,0,0,1
c19,rh,chimpanzee,0,0,1
c20,lh,chimpanzee,1,0,1
c20,rh,chimpanzee,1,0,1
c21,lh,chimpanzee,0,0,1
c21,rh,chimpanzee,0,0,1
c22,lh,chimpanzee,0,0,0
c22,rh,chimpanzee,0,0,0
c23,lh,chimpanzee,0,0,0
c23,rh,chimpanzee,1,0,0
c24,lh,chimpanzee,0,0,1
c24,rh,chimpanzee,0,0,1
c25,lh,chimpanzee,0,0,1
c25,rh,chimpanzee,0,0,0
c26,lh,chimpanzee,0,0,0
c26,rh,chimpanzee,0,0,0
c27,lh,chimpanzee,1,1,0
c27,rh,chimpanzee,0,0,1
c28,lh,chimpanzee,0,0,0
c28,rh,chimpanzee,0,0,0
c29,lh,chimpanzee,0,0,1
c29,rh,chimpanzee,0,0,1
c30,lh,chimpanzee,1,0,0
c30,rh,chimpanzee,1,0,0
nc02,lh,chimpanzee,1,0,0
nc02,rh,chimpanzee,1,0,0
nc03,lh,chimpanzee,0,0,1
nc03,rh,chimpanzee,0,0,1
nc04,lh,chimpanzee,0,0,0
nc04,rh,chimpanzee,0,0,0
nc05,lh,chimpanzee,1,0,0
nc05,rh,chimpanzee,1,0,1
nc06,lh,chimpanzee,0,0,1
nc06,rh,chimpanzee,0,0,0
nc07,lh,chimpanzee,0,0,0
nc07,rh,chimpanzee,0,0,0
nc08,lh,chimpanzee,1,0,1
nc08,rh,chimpanzee,1,0,0
nc09,lh,chimpanzee,0,0,1
nc09,rh,chimpanzee,0,0,1
nc10,lh,chimpanzee,0,0,0
nc10,rh,chimpanzee,0,0,1
nc11,lh,chimpanzee,0,0,1
nc11,rh,chimpanzee,0,0,1
nc12,lh,chimpanzee,1,0,0
nc12,rh,chimpanzee,0,0,0
nc13,lh,chimpanzee,0,0,1
nc13,rh,chimpanzee,0,0,1
nc14,lh,chimpanzee,0,0,1
nc14,rh,chimpanzee,0,0,0
nc15,lh,chimpanzee,1,0,0
nc15,rh,chimpanzee,0,0,0
nc16,lh,chimpanzee,0,0,1
nc16,rh,chimpanzee,0,0,0
nc17,lh,chimpanzee,1,0,0
nc17,rh,chimpanzee,1,0,1
nc18,lh,chimpanzee,1,0,0
nc18,rh,chimpanzee,0,0,1
nc19,lh,chimpanzee,0,0,0
nc19,rh,chimpanzee,0,0,1
nc20,lh,chimpanzee,0,0,1
nc20,rh,chimpanzee,0,0,1
nc21,lh,chimpanzee,0,0,1
nc21,rh,chimpanzee,0,0,1
nc22,lh,chimpanzee,0,0,1
nc22,rh,chimpanzee,0,0,1
nc23,lh,chimpanzee,0,0,1
nc23,rh,chimpanzee,0,0,0
nc24,lh,chimpanzee,0,0,1
nc24,rh,chimpanzee,0,0,1
nc25,lh,chimpanzee,0,0,1
nc25,rh,chimpanzee,0,0,1
nc26,lh,chimpanzee,0,0,0
nc26,rh,chimpanzee,0,0,0
nc27,lh,chimpanzee,0,0,0
nc27,rh,chimpanzee,1,0,1
nc28,lh,chimpanzee,0,0,0
nc28,rh,chimpanzee,1,0,0
nc29,lh,chimpanzee,1,0,0
nc29,rh,chimpanzee,0,0,1
nc30,lh,chimpanzee,0,0,1
nc30,rh,chimpanzee,0,0,1
nc31,lh,chimpanzee,0,0,0
nc31,rh,chimpanzee,1,0,0
nc32,lh,chimpanzee,0,0,1
nc32,rh,chimpanzee,0,0,0